noun
가치
감사
강화
개선
개혁
건전성
검찰
결과
경제
계류
계층
고령화
고용률
고용보험
공공기관
공수처
공정
공정경제
공정성
과감
관련
관심
교육
국가경쟁력
국민
국제사회
국회
국회의원
국회의장
권력형
규모
그동안
기록
기반
기업
나라
내년
노력
다양
당당
대안
도전
동안
마음
마중물
마지막
만큼
먼저
모두
목소리
목표
문제
미래
민생
민생법안
발전
발행
방향
법안
벤처
복지
부분
북한
분야
불공정
불과
비리
사회
사회안전망
산업
산업혁명
생각
성과
성장
세계
세법개정안
소득
속도
수준
시대
시작
신성장
안보
어르신
엄정한
엄중
여러분
여력
여성
역량
역할
예산
예산안
올해
요구
우리
응원
의견
의미
의원
이상
이후
인권
인사
일자리
자립
자신
재정
전쟁
전환
정규직
정부
정책
조사
존경
중심
증가
지난해
지역
지원
채용
책임
청년
초석
최고치
추가
추진
취업자
토대
투자
특권
특히
파고
평가
평균
평화
포용
포용국가
포함
한반도
한번
함께
해결
해소
핵심
혁신
협력
확대
확대하
확산
활력
힘
